row_id,station,zona,date,lat,lon,secchi,chl,tss,temp_insitu,ph,do,matched,n_img,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12
272,E142,LAGO MENOR,2019-07-23,-16.4489,-68.9969,11.0,1.03,6.75,10.8,8.63,7.14,1,8,0.0167,0.01793,0.01909,0.00647,0.00447,0.00288,0.00277,0.00243,0.00259,0.00118,0.00094
273,E145,LAGO MENOR,2019-07-23,-16.5179,-68.9781,6.0,3.99,3.0,11.1,8.68,7.3,1,8,0.01595,0.01881,0.02077,0.00583,0.0041,0.00216,0.00222,0.00191,0.00176,0.0007,0.00077
274,E144,LAGO MENOR,2019-07-24,-16.5161,-68.8866,,0.67,2.25,9.9,8.74,7.15,1,4,0.01536,0.01963,0.02703,0.00654,0.00454,0.00231,0.00252,0.00243,0.00232,0.00102,0.00124
275,E147,LAGO MENOR,2019-07-24,-16.559,-68.9174,5.5,2.21,6.5,10.4,8.57,6.68,1,8,0.01299,0.01812,0.01934,0.00604,0.00426,0.00308,0.00329,0.00276,0.00232,0.00096,0.00122
276,E150,LAGO MENOR,2019-07-24,-16.5583,-69.0356,,1.19,8.25,10.6,8.48,6.89,1,4,0.01184,0.01426,0.0186,0.00914,0.00651,0.00237,0.00288,0.00232,0.00194,0.00421,0.00397
277,E01,BAHIA PUNO,2022-08-12,-15.853,-69.9605,5.5,1.61,2.5,13.9,8.51,7.23,1,4,0.01497,0.0163,0.01961,0.01081,0.0108,0.00957,0.01027,0.01028,0.00998,0.00813,0.00636
278,E02,BAHIA PUNO,2022-08-12,-15.8461,-69.9271,8.0,3.07,1.0,13.5,8.49,7.0,1,8,0.0186,0.01873,0.01847,0.00974,0.0085,0.00734,0.00758,0.00676,0.00671,0.00272,0.00211
279,E04,BAHIA PUNO,2022-08-12,-15.8741,-69.8671,,1.53,10.75,13.8,8.35,7.13,1,8,0.02031,0.02235,0.03216,0.01132,0.01265,0.00699,0.00717,0.00648,0.0062,0.00313,0.00226
280,E05,BAHIA PUNO,2022-08-12,-15.84,-69.8923,8.5,0.95,1.25,13.6,8.28,6.88,1,8,0.01907,0.0186,0.01579,0.00746,0.00654,0.00573,0.0058,0.00549,0.00547,0.00258,0.00185
281,E06,BAHIA PUNO,2022-08-12,-15.8053,-69.9118,,1.1,1.0,13.1,8.35,7.37,1,8,0.01881,0.02072,0.0232,0.00922,0.00794,0.00646,0.00676,0.0061,0.00558,0.00288,0.00224
282,E08,BAHIA PUNO,2022-08-12,-15.7802,-69.8681,11.0,1.03,2.25,12.6,8.27,6.9,1,8,0.01823,0.01842,0.01468,0.00702,0.00639,0.00558,0.00591,0.00529,0.00499,0.00255,0.00196
283,E09,BAHIA PUNO,2022-08-12,-15.8342,-69.8592,,0.59,3.0,13.4,8.49,7.06,1,8,0.0217,0.02337,0.02634,0.00915,0.00752,0.006,0.00658,0.00598,0.0055,0.00321,0.00248
284,E25,LAGO MAYOR,2022-08-14,-15.4913,-69.893,,0.51,3.5,12.9,8.27,6.03,1,8,0.01941,0.02151,0.01798,0.00879,0.00804,0.00728,0.00762,0.00697,0.00725,0.00497,0.00419
285,E27,LAGO MAYOR,2022-08-14,-15.4437,-69.8425,,0.59,7.5,12.5,8.45,6.64,1,16,0.01973,0.02264,0.02034,0.00775,0.00721,0.00634,0.00637,0.00608,0.00556,0.00248,0.00208
286,E28,LAGO MAYOR,2022-08-14,-15.3928,-69.7822,10.0,1.02,2.5,13.2,8.47,6.66,1,8,0.02296,0.02489,0.01998,0.00812,0.00704,0.00511,0.00535,0.00497,0.00466,0.00228,0.00151
287,E32,LAGO MAYOR,2022-08-14,-15.3384,-69.7205,9.0,0.51,1.75,13.4,8.39,6.13,1,4,0.02382,0.02833,0.02217,0.00814,0.00645,0.00473,0.00546,0.00449,0.00451,0.00238,0.00317
288,E36,LAGO MAYOR,2022-08-14,-15.2971,-69.6814,9.0,0.51,2.25,13.0,8.4,6.42,1,4,0.02349,0.02604,0.02145,0.00926,0.00779,0.00637,0.00624,0.00616,0.00605,0.00327,0.00258
289,E39,LAGO MAYOR,2022-08-15,-15.3748,-69.5276,7.0,1.62,1.25,12.3,8.43,6.7,1,4,0.0157,0.0208,0.02376,0.0073,0.0054,0.00327,0.00371,0.00307,0.00292,0.00511,0.00463
290,341,LAGO MAYOR,2022-08-15,-15.4392,-69.6009,14.0,0.51,1.5,13.1,8.28,5.88,1,8,0.0141,0.0174,0.0117,0.00397,0.00313,0.00228,0.00228,0.00244,0.00213,0.00189,0.00173
291,E42,LAGO MAYOR,2022-08-15,-15.4967,-69.6685,16.0,0.94,5.5,12.9,8.29,5.94,1,4,0.01916,0.01855,0.01281,0.00524,0.00424,0.00329,0.00352,0.00315,0.00312,0.00154,0.00123
292,E43,LAGO MAYOR,2022-08-15,-15.5603,-69.7411,14.0,0.51,0.75,13.1,8.1,5.66,1,4,0.02004,0.01898,0.01349,0.00591,0.00492,0.0037,0.00407,0.00368,0.00351,0.00192,0.00167
293,E22,LAGO MAYOR,2022-08-15,-15.6181,-69.807,14.0,0.51,1.0,13.3,8.13,6.05,1,4,0.01943,0.01904,0.01378,0.00655,0.00528,0.00468,0.00478,0.0047,0.00462,0.00299,0.00255
294,E48,LAGO MAYOR,2022-08-16,-15.5361,-69.3597,8.0,0.94,1.0,13.8,8.34,5.97,1,4,0.02081,0.0206,0.01515,0.00764,0.00683,0.00618,0.00656,0.00592,0.0057,0.00393,0.00314
295,E49,LAGO MAYOR,2022-08-16,-15.6063,-69.4449,15.0,0.51,6.5,13.0,8.18,5.97,1,4,0.02051,0.02127,0.01492,0.00811,0.00688,0.00623,0.00536,0.00523,0.00516,0.00324,0.00279
296,E50,LAGO MAYOR,2022-08-16,-15.6687,-69.5211,16.0,0.59,9.0,12.6,8.27,5.75,1,4,0.01901,0.02002,0.0143,0.00759,0.00625,0.00563,0.00513,0.00588,0.00514,0.00405,0.00353
