row_id,station,zona,campaign_date,date,year,month,lat,lon,sensor,event_id,secchi,chl,tss,temp_insitu,B2,B3,B4,B8,B11,B12,NDWI,NDTI,B2_B3,B4_B3,B3_B2,B2_B4
256,E95,LAGO MAYOR,2015-08-03,2015-08-03,2015,8,-16.2657,-69.2815,LS,E95|2015-08-03|9.0,9.0,0.59,1.33,12.69,0.014341331306960508,0.011649046099538686,0.004374461918327663,0.002282898376903212,0.0015379647902438072,0.0018304281566979656,0.6722785226566584,-0.4539944510968103,1.2311162607908452,0.37552100879572337,0.8122708441728854,3.2784210484159577
257,E96,LAGO MAYOR,2015-08-03,2015-08-03,2015,8,-16.2501,-69.2737,LS,E96|2015-08-03|7.5,7.5,0.59,3.0,12.83,0.01519551152193567,0.012566819442963548,0.005415043943762784,0.0030333018331623954,0.001591829554955633,0.0017135949901837073,0.6111181336309794,-0.397721579108337,1.2091771017898156,0.4309000807594726,0.8270085938083734,2.806165355919775
258,E97,LAGO MAYOR,2015-08-02,2015-08-02,2015,8,-16.1757,-69.1958,LS,E97|2015-08-02|10.0,10.0,0.51,3.33,12.71,0.014460039131398143,0.01155593865890138,0.0048563708071562225,0.0025351348327886485,0.00134559063055871,0.0015414197974258515,0.6401785634894342,-0.40820382149122597,1.251307947100587,0.4202488893592853,0.7991636644084497,2.9775395512530993
259,E98,LAGO MAYOR,2015-08-05,2015-08-05,2015,8,-16.1117,-69.1016,LS,E98|2015-08-05|9.0,9.0,0.6,7.0,12.94,0.014875516516929869,0.011941669484398787,0.004805194641970889,0.002711700351908458,0.001591829554955633,0.0016582529639401107,0.6298870912091342,-0.42613795409331734,1.245681375680564,0.40238881555546546,0.8027733805434292,3.0957150603817154
260,E99,LAGO MAYOR,2015-08-05,2015-08-05,2015,8,-16.0745,-69.0742,LS,E99|2015-08-05|9.5,9.5,1.62,2.33,13.44,0.014738744458338681,0.012420507750533497,0.005129310354811337,0.0029576308963967617,0.0016303043868926524,0.0017258932182378402,0.6153460087758852,-0.4154571253387797,1.186645793209204,0.412971035070606,0.8427113274764099,2.873435328606756
261,E100,LAGO MAYOR,2015-08-01,2015-08-01,2015,8,-16.0055,-68.9959,LS,E100|2015-08-01|10.0,10.0,1.1,1.33,13.48,0.014723260829064205,0.011815309386391016,0.0050184286635764465,0.0030333018331623954,0.0014379302272075553,0.0015783144815882492,0.5914362516426973,-0.40376536090047727,1.2461171435684495,0.4247394693377433,0.8024926489500585,2.9338382354793207
262,E101,LAGO MAYOR,2015-08-01,2015-08-01,2015,8,-15.8962,-68.9707,LS,E101|2015-08-01|10.5,10.5,1.7,1.0,12.59,0.014465200341156302,0.01194832001587288,0.0049501937766626685,0.003108972769928022,0.002284376529821979,0.0023100590508091335,0.5870475380031704,-0.41412670433625565,1.2106471128403604,0.4143003665608355,0.8260044042302814,2.922147712116588
263,E102,LAGO MAYOR,2015-08-01,2015-08-01,2015,8,-15.9356,-68.9684,LS,E102|2015-08-01|9.0,9.0,2.21,1.0,12.77,0.014341331306960508,0.011269965805515371,0.004822253363699334,0.002863042225439722,0.0017688137818659237,0.001910366639049828,0.5948431478153183,-0.4006726464102736,1.2725264904899323,0.4278853209522665,0.7858381330474812,2.97398897389534
265,E104,LAGO MAYOR,2015-08-01,2015-08-01,2015,8,-15.994,-68.8804,LS,E104|2015-08-01|11.0,11.0,1.18,1.33,13.07,0.014560682721682226,0.012094631708302932,0.00521460396345356,0.003172031883899383,0.0017688137818659237,0.001799682586562634,0.5844498495736197,-0.3974772472824018,1.2038962300762022,0.43115025393650436,0.8306362489209823,2.79228873974739
266,E105,LAGO MAYOR,2015-08-01,2015-08-01,2015,8,-15.9864,-68.8016,LS,E105|2015-08-01|2.2,2.2,1.18,1.0,12.93,0.014612294819263807,0.016331020257300308,0.005965187719505122,0.0031657259725022466,0.0021227822356864982,0.00192266486710396,0.6752559352399927,-0.4649145757728894,0.8947569529818478,0.3652672803201796,1.1176217932688344,2.449594724720806
268,E107,LAGO MAYOR,2015-08-01,2015-08-01,2015,8,-16.0696,-68.9361,LS,E107|2015-08-01|10.5,10.5,1.18,7.67,13.41,0.014519393043616963,0.012327400309896193,0.005316956293824227,0.003077443212942347,0.001761118815478517,0.0017074458761566413,0.600457673119665,-0.397319311562455,1.1778145838378022,0.4313120146056964,0.849029943871217,2.730771048411764
