observed,predicted_unbounded,predicted_bounded
14.0,11.588802755332814,8.834392538726867
14.0,11.283058539431199,8.812110643913481
15.0,10.529508732222792,8.753078331809464
15.0,9.646841500299315,8.675141850349432
13.0,10.746279661054771,8.770702109835344
10.0,9.045261959133683,8.615369609557003
13.0,10.49952135600587,8.75059672722887
14.0,10.608510911374491,8.759564835794002
5.5,6.734043237606312,8.309252429484312
11.0,7.2554635073971845,8.392289351380866
5.0,5.333308689135863,8.01712655735082
5.0,7.296799665627718,8.398441367335742
5.0,7.042439354779065,8.359625948058472
5.5,6.695447491726687,8.30266928653074
5.0,5.799757080450963,8.128573103215633
9.5,9.411695438920669,8.652490667899215
11.0,16.12962461981226,9.087783406422984
11.0,12.188112841296485,8.875615624465626
8.5,5.739161028980363,8.115045855008972
10.5,13.967595801602492,8.982177405573735
12.7,10.919219086747031,8.784379172349693
7.0,5.725563113412761,8.111974263333462
8.1,2.5624554541971087,6.194501363058263
7.5,5.207076279644778,7.983739607076461
5.7,6.232664150676338,8.218253888896161
7.0,7.1550341614533846,8.377094486792013
6.0,4.801716524554081,7.864970862827981
7.0,6.59210356724297,8.28471540414312
7.0,5.959134287223087,8.16295304353801
7.0,5.742908041353298,8.115889909202085
7.0,5.472395286490169,8.052214070075289
6.5,5.399162935022634,8.033952725258851
7.0,143.50420646734221,10.188814358369987
7.2,5.384677175043304,8.030285005640671
6.5,5.734603919507976,8.114017953647892
6.0,5.42250666014572,8.039824244290719
5.0,6.057660413844673,8.183387125354146
6.0,6.727508493675798,8.30814239277326
5.5,7.209769154887275,8.385419944328087
8.4,6.547051912527331,8.27673524029164
6.0,7.686776763144283,8.453752253943167
5.5,6.587755462554857,8.283949337113285
5.0,6.457468319597687,8.26057972365064
5.4,4.766637247446164,7.853745944475116
5.1,6.0683955464930275,8.185577546817283
4.5,7.486884816253912,8.42599893569933
6.0,7.055454795369059,8.361669297640011
11.0,9.734979025429356,8.68341185757934
11.0,10.3921741430173,8.741623682699238
7.0,9.259446185654731,8.637347472885548
7.0,8.301552073514001,8.532168565063671
10.0,9.835744375474265,8.692725566716245
9.5,10.184690155126514,8.723871405233758
8.5,9.640613415653931,8.674553024328162
9.0,10.565226264443606,8.756020095855938
10.0,9.909755725017785,8.699472823635523
11.0,10.443340890399465,8.745918246934984
8.0,10.360679231819507,8.73896410616085
8.3,10.044570143457044,8.711565301940261
8.0,10.751362694136482,8.77110886585567
11.0,9.996056746803953,8.707242782164109
8.0,9.88761712876638,8.697462745299953
