feature,value,shap,label
B2,0.028070,-0.031772,Blue
B2,0.025020,0.021421,Blue
B2,0.026890,-0.048822,Blue
B2,0.026110,0.019707,Blue
B2,0.022830,-0.080875,Blue
B2,0.028180,0.135201,Blue
B2,0.023480,0.070946,Blue
B2,0.016440,0.008465,Blue
B2,0.031160,-0.008355,Blue
B2,0.030820,0.008101,Blue
B2,0.031340,-0.007725,Blue
B2,0.031530,-0.032536,Blue
B2,0.022360,-0.039469,Blue
B2,0.026580,-0.001210,Blue
B2,0.026920,0.010171,Blue
B2,0.025590,-0.073005,Blue
B2,0.022970,-0.008987,Blue
B2,0.025600,0.156851,Blue
B2,0.025660,0.137761,Blue
B2,0.022920,0.096406,Blue
B2,0.025660,0.030847,Blue
B2,0.027620,-0.045706,Blue
B2,0.022860,-0.035199,Blue
B2,0.025230,0.074421,Blue
B2,0.024890,0.168401,Blue
B2,0.024840,0.001542,Blue
B2,0.023090,-0.001782,Blue
B2,0.023700,0.059080,Blue
B2,0.024120,0.195771,Blue
B2,0.024570,0.184723,Blue
B2,0.024760,0.074811,Blue
B2,0.023150,-0.095986,Blue
B2,0.021960,0.093531,Blue
B2,0.025190,0.070823,Blue
B2,0.023810,-0.004818,Blue
B2,0.023390,0.070137,Blue
B2,0.024100,-0.002494,Blue
B2,0.023450,0.140220,Blue
B2,0.024750,-0.015704,Blue
B2,0.023880,-0.024067,Blue
B2,0.023890,-0.005274,Blue
B2,0.022950,-0.020784,Blue
B2,0.021210,0.079690,Blue
B2,0.022770,-0.121804,Blue
B2,0.023040,0.026948,Blue
B2,0.023850,0.019599,Blue
B2,0.024360,-0.054371,Blue
B2,0.020990,0.101450,Blue
B2,0.027980,-0.005394,Blue
B2,0.025340,-0.031606,Blue
B2,0.024580,0.008716,Blue
B2,0.026370,-0.060535,Blue
B2,0.039750,0.103919,Blue
B2,0.027360,0.011916,Blue
B2,0.024630,0.032526,Blue
B2,0.025570,-0.008718,Blue
B2,0.039400,0.004458,Blue
B2,0.026950,-0.011631,Blue
B2,0.035870,0.018353,Blue
B2,0.025740,0.006505,Blue
B2,0.023410,0.017112,Blue
B2,0.027370,-0.016591,Blue
B2,0.027290,0.006347,Blue
B2,0.020070,0.057159,Blue
B2,0.046820,0.023428,Blue
B2,0.025740,0.048674,Blue
B2,0.027080,0.000195,Blue
B2,0.027160,-0.043279,Blue
B2,0.023030,-0.081582,Blue
B2,0.028320,0.097975,Blue
B2,0.027470,0.028428,Blue
B2,0.081480,-0.016372,Blue
B2,0.045980,0.003260,Blue
B2,0.029210,0.035585,Blue
B2,0.028040,0.028461,Blue
B2,0.021590,0.126732,Blue
B2,0.034100,-0.135387,Blue
B2,0.022120,-0.044302,Blue
B2,0.028720,0.106298,Blue
B2,0.024780,-0.023928,Blue
B2,0.022290,0.011778,Blue
B2,0.024460,0.027506,Blue
