station,zona,campaign_date,year,sensor,secchi,zone_label,predicted,lower,upper,width,covered
E59,LAGO MAYOR,2019-07-15,2019,LS,11.0,Lago Mayor,10.800357174492177,7.969072782689894,13.63164156629446,5.662568783604566,True
E60,LAGO MAYOR,2019-07-15,2019,LS,11.0,Lago Mayor,10.692914545454546,7.861630153652262,13.524198937256829,5.662568783604566,True
E61,LAGO MAYOR,2019-07-15,2019,LS,11.0,Lago Mayor,11.411850980084242,8.58056658828196,14.243135371886526,5.662568783604566,True
E72,LAGO MAYOR,2019-07-15,2019,LS,6.0,Lago Mayor,5.350998966188681,2.519714574386398,8.182283357990963,5.662568783604565,True
E76,LAGO MAYOR,2019-07-19,2019,LS,9.9,Lago Mayor,9.517857353577796,6.462962690185629,12.572752016969963,6.109789326784334,True
E78,LAGO MAYOR,2019-07-19,2019,LS,12.0,Lago Mayor,10.454767750582745,7.399873087190578,13.509662413974912,6.109789326784334,True
E82,LAGO MAYOR,2019-07-16,2019,LS,9.0,Lago Mayor,10.43066987461102,7.388471573134718,13.47286817608732,6.084396602952602,True
E83,LAGO MAYOR,2019-07-16,2019,LS,10.0,Lago Mayor,8.51007193972694,5.467873638250638,11.552270241203242,6.084396602952604,True
E88,LAGO MAYOR,2019-07-17,2019,LS,11.0,Lago Mayor,8.817397724775219,5.888426262962622,11.746369186587817,5.8579429236251945,True
E94,LAGO MAYOR,2019-07-17,2019,LS,8.0,Lago Mayor,9.174516870795875,6.245545408983278,12.103488332608471,5.857942923625193,True
E97,LAGO MAYOR,2019-07-17,2019,LS,10.0,Lago Mayor,9.360232962315461,6.431261500502864,12.289204424128059,5.8579429236251945,True
E98,LAGO MAYOR,2019-07-18,2019,LS,7.0,Lago Mayor,10.994621436136974,7.952423134660672,14.036819737613275,6.084396602952602,False
E99,LAGO MAYOR,2019-07-20,2019,LS,13.0,Lago Mayor,8.172294346764343,5.130096045288041,11.214492648240643,6.084396602952602,False
E100,LAGO MAYOR,2019-07-20,2019,LS,11.0,Lago Mayor,11.48126887278131,8.43907057130501,14.523467174257611,6.0843966029526015,True
E104,LAGO MAYOR,2019-07-20,2019,LS,10.0,Lago Mayor,7.435214634254635,4.393016332778333,10.477412935730936,6.084396602952602,True
E113,LAGO MAYOR,2019-07-17,2019,LS,9.0,Lago Mayor,8.48438177100678,5.555410309194182,11.413353232819375,5.857942923625193,True
E117,LAGO MAYOR,2019-07-18,2019,LS,10.0,Lago Mayor,8.52604974153298,5.483851440056678,11.56824804300928,6.084396602952602,True
E120,LAGO MAYOR,2019-07-20,2019,LS,11.5,Lago Mayor,10.850799551523409,7.808601250047107,13.89299785299971,6.084396602952602,True
E121,LAGO MAYOR,2019-07-21,2019,LS,11.0,Lago Mayor,9.875136743811744,7.043852352009461,12.706421135614027,5.662568783604566,True
E122,LAGO MENOR,2019-07-21,2019,LS,11.0,Lago Menor,9.196807841047843,6.3655234492455595,12.028092232850126,5.662568783604566,True
E123,LAGO MENOR,2019-07-21,2019,LS,9.0,Lago Menor,10.249197049617045,7.417912657814762,13.080481441419328,5.662568783604566,True
E125,LAGO MENOR,2019-07-21,2019,LS,8.5,Lago Menor,9.906347718947718,7.075063327145434,12.73763211075,5.662568783604566,True
E132,LAGO MENOR,2019-07-21,2019,LS,7.0,Lago Menor,6.557634449484012,3.726350057681729,9.388918841286294,5.662568783604565,True
E130,LAGO MENOR,2019-07-22,2019,LS,10.0,Lago Menor,5.879977859461257,2.8250831960690896,8.934872522853425,6.109789326784336,False
E136,LAGO MENOR,2019-07-22,2019,LS,6.5,Lago Menor,6.259909538309986,3.205014874917819,9.314804201702154,6.109789326784336,True
E137,LAGO MENOR,2019-07-22,2019,LS,5.0,Lago Menor,7.0297703521578025,3.974875688765635,10.08466501554997,6.109789326784334,True
E141,LAGO MENOR,2019-07-23,2019,LS,10.0,Lago Menor,5.992236699543149,2.5596990303234777,9.42477436876282,6.865075338439343,False
